title,views,when
Tulsi Gabbard: This is literal insanity,168K views,2 months ago
"We are getting sicker, fatter and more depressed: Calley Means",19K views,2 months ago
Gutfeld: No one wants to do this,313K views,2 months ago
Judge Jeanine: This is a serious stand against cancel culture,125K views,2 months ago
Riley Gaines goes off on Lia Thomas' 'gaslighting',361K views,2 months ago
Ramaswamy: 'Biden isn't really running for president',215K views,2 months ago
"Second U.S. citizen killed in Sudan, White House confirms",22K views,2 months ago
Brian Kilmeade: Biden released the single most divisive campaign ad,210K views,2 months ago
Seen and Unseen: Biden’s 2024 blooper reel,89K views,2 months ago
Will Cain: Biden has been flirting with America for 50 years,205K views,2 months ago
Kayleigh McEnany: Biden running on stopping ‘MAGA’ Republicans,47K views,2 months ago
Ingraham: The Democratic Party has gone insane,249K views,2 months ago
WE DESERVE BETTER: GOP rep. blasts Biden's performance after 2024 announcement,102K views,2 months ago
Democrats blasted as 'undemocratic' for skipping debates,117K views,2 months ago
Brian Kilmeade: The Democratic Party wants to bury this story,171K views,2 months ago
Vivek Ramaswamy: This is a form of elder abuse,27K views,2 months ago
Something strange is going on in Texas: UFO investigator,167K views,2 months ago
Biden family crimes to be exposed: Rep. Jim Jordan,208K views,2 months ago
‘The Five’: Get ready for Biden’s 2024 campaign,127K views,2 months ago
Bill Maher calls out liberal cities: Why isn't anyone talking about this?,714K views,2 months ago
Dana Perino: Even the NY Times is saying this now,101K views,2 months ago
'This is a gut punch': Biden to announce 2024 bid amid 'devastating' poll,205K views,2 months ago
Hilton: Biden is pandering to the far-left climate zealots,19K views,2 months ago
SWAT destroyed this cancer survivor’s house. Here's why they may have to pay up | Digital Original,259K views,2 months ago
Legendary NBA coach Phil Jackson slams league for becoming too political,29K views,2 months ago
Brian Kilmeade: The White House wasted no time cleaning up this mess,663K views,2 months ago
Jonathan Turley: ‘Time is running out’ for Hunter Biden,341K views,2 months ago
Democrats torched over 'crazy' proposal protecting LGBTQ+ migrants,326K views,2 months ago
"U.S. embassy staff, families evacuated from Sudan",547K views,2 months ago
Why the China threat is growing at the United States' expense,76K views,2 months ago
HBO's Bill Maher awards heroes who defeated cancel culture,239K views,2 months ago
Jake Gyllenhaal: This made me proud to be an American,38K views,2 months ago
Author warns Tucker about mob rule in America,181K views,2 months ago
Economist to Tucker: Biden's 'reckless policy' will put Americans 'underwater',83K views,2 months ago
The Duffys on what GOP lawmakers are getting wrong on abortion | From The Kitchen Table,10K views,2 months ago
